행정동,장애인인구수,인구수,장애인비율,장애인비율_정규화
등촌3동,2203,30714,0.072,0.6951219512195121
가양2동,1368,14109,0.097,1.0
화곡1동,1357,52770,0.026,0.13414634146341461
방화3동,1248,22924,0.054,0.47560975609756095
방화1동,1126,43181,0.026,0.13414634146341461
발산1동,991,36572,0.027,0.14634146341463414
방화2동,976,23656,0.041,0.3170731707317073
가양3동,955,15138,0.063,0.5853658536585366
화곡본동,877,34612,0.025,0.12195121951219515
공항동,816,31483,0.026,0.13414634146341461
우장산동,767,43129,0.018,0.03658536585365853
화곡8동,662,24789,0.027,0.14634146341463414
염창동,645,41764,0.015,0.0
화곡4동,639,20820,0.031,0.1951219512195122
화곡6동,582,25096,0.023,0.0975609756097561
가양1동,524,34395,0.015,0.0
화곡3동,508,21661,0.023,0.0975609756097561
화곡2동,470,18096,0.026,0.13414634146341461
등촌1동,451,24436,0.018,0.03658536585365853
등촌2동,440,20423,0.022,0.08536585365853658
